id,nome,indirizzo,latitudine,longitudine,quartiere,valueHeatmap
91,fontanella,"via Scopari, 6",38.11757,13.371578,"Tribunali-Castellammare",1
92,fontanella,piazzetta Caruso Arenella,38.153135,13.37399,"Arenella-Vergine Maria",1
93,fontanella,via dei Pescatori,38.199397,13.277714,"Tommaso Natale-Sferracavallo",1
94,fontanella,"piazza Uditore, 15",38.131648,13.322712,"Uditore-Passo di Rigano",1
95,fontanella,"via Casalini, ang. Leonardo da Vinci",38.126913,13.313684,"Uditore-Passo di Rigano",1
96,fontanella,"via Tommaso Natale, 61",38.174382,13.301743,"Tommaso Natale-Sferracavallo",1
97,fontanella,"via Massaia Guglielmo Cardinale, 159",38.154213,13.371165,"Arenella-Vergine Maria",1
98,fontanella,"corso Calatafimi, 927",38.100284,13.323104,"Mezzomonreale-Villa Tasca",1
99,fontanella,"via Resuttana, 418",38.153186,13.334822,"Resuttana-San Lorenzo",1
100,fontanella,piazzetta Scannaserpe,38.153059,13.332909,"Resuttana-San Lorenzo",1
101,fontanella,"via Nuova, 106",38.159765,13.321899,"Resuttana-San Lorenzo",1
102,fontanella,"via Giusino, 24",38.172812,13.334687,Pallavicino,1
103,fontanella,"via Isac Rabin, 33",38.144163,13.357473,Montepellegrino,1
104,fontanella,"salita Belmonte, 40",38.144994,13.368535,Montepellegrino,1
105,fontanella,"via Florio, 27 e",38.163538,13.326594,"Resuttana-San Lorenzo",1
106,fontanella,"via Resuttana, 372",38.152231,13.336199,"Resuttana-San Lorenzo",1
107,fontanella,"vicolo Felice, 9",38.137681,13.327315,"Uditore-Passo di Rigano",1
108,fontanella,"via Felice, 4",38.138468,13.328337,"Uditore-Passo di Rigano",1
109,fontanella,"cortile Prestigiacomo, 10, in via Castellana",38.125969,13.311333,"Uditore-Passo di Rigano",1
110,fontanella,"piazzetta di CRistofalo, 5",38.145292,13.366613,Montepellegrino,1
111,fontanella,"fondo Mortillaro, 6",38.096828,13.389449,Settecannoli,1
112,fontanella,"via Caruso, 43",38.154404,13.373851,"Arenella-Vergine Maria",1
113,fontanella,"via Giardina, 2",38.068478,13.418855,"Brancaccio-Ciaculli",1
114,fontanella,"via Giardina, 53",38.06754,13.417459,"Brancaccio-Ciaculli",1
115,fontanella,"piazza Giardina, 3",38.067044,13.416643,"Brancaccio-Ciaculli",1
116,fontanella,"corso dei Mille, 1294",38.09373,13.405929,Settecannoli,1
117,fontanella,"corso dei Mille, 1258",38.093465,13.406831,Settecannoli,1
118,fontanella,"corso dei Mille, 988",38.098127,13.393617,Settecannoli,1
119,fontanella,"via Giafar, 127",38.093763,13.387449,"Brancaccio-Ciaculli",1
120,fontanella,"via Brancaccio, 228",38.096174,13.382879,"Brancaccio-Ciaculli",1
121,fontanella,"via Ciaculli, 240",38.075933,13.407128,"Brancaccio-Ciaculli",1
122,fontanella,"via Ciaculli, 216",38.07704,13.40454,"Brancaccio-Ciaculli",1
123,fontanella,"via Giulio Tenaglia, 41",38.079246,13.398733,"Brancaccio-Ciaculli",1
124,fontanella,"via Guadagna, 50",38.100082,13.368958,"Oreto-Stazione",1
125,fontanella,"piazza Vergine Maria, 12",38.165789,13.36725,"Arenella-Vergine Maria",1
126,fontanella,"via Sperone, 204",38.099475,13.3994,Settecannoli,1
127,fontanella,"piazza S. Orsola, 7",38.10116,13.361543,"Oreto-Stazione",1
128,fontanella,"piazza San Gregorio, 13",38.118552,13.355178,"Palazzo Reale-Monte di Pietà",1
129,fontanella,"via Sant'Alessandro, 47",38.120685,13.364111,"Tribunali-Castellammare",1
130,fontanella,"piazza Santo Spirito, 15",38.11984,13.370935,"Tribunali-Castellammare",1
131,fontanella,piazza Chiesa dei Cocchieri,38.115299,13.367446,"Tribunali-Castellammare",1
132,fontanella,"arco dei Cartari, 7",38.116642,13.365605,"Tribunali-Castellammare",1
133,fontanella,"fondo Micciulla, 11",38.105585,13.322962,Altarello,1
134,fontanella,"piazza Mulino a Vento, 1",38.127628,13.358786,Politeama,1
135,fontanella,piazzetta Ettore Ximenes,38.128977,13.358075,Politeama,1
136,fontanella,"citta' dei Ragazzi, in Viale Duca degli Abruzzi ",38.168224,13.328953,Pallavicino,1
137,fontanella,"pizza Peranni Domenico, 10",38.114777,13.352246,"Palazzo Reale-Monte di Pietà",1
138,fontanella,"piazzetta Settecantoni, 2",38.113477,13.357842,"Palazzo Reale-Monte di Pietà",1
139,fontanella,via Villagrazia 467,38.07683,13.332204,"Villagrazia-Falsomiele",1
140,fontanella,"piazza Tommaso Natale, 90",38.190947,13.285067,"Tommaso Natale-Sferracavallo",1
141,fontanella,"cortile le Chiavi ii, 39",38.146078,13.366538,Montepellegrino,1
142,fontanella,"via Mater Dolorosa, 97",38.173522,13.330118,Pallavicino,1
143,fontanella,"via SS. Salvatore, 30",38.114269,13.358899,"Palazzo Reale-Monte di Pietà",1
144,fontanella,"via Conte Federico, 61",38.093773,13.385614,"Brancaccio-Ciaculli",1
145,fontanella,cortile Lombino ,38.095768,13.381778,"Brancaccio-Ciaculli",1
146,fontanella,"piazzetta Cinà, 97",38.066279,13.416,"Brancaccio-Ciaculli",1
147,fontanella,Foro Italico,38.117118,13.374003,"Tribunali-Castellammare",1
148,fontanella,"via San Lorenzo, 202",38.162785,13.323633,"Resuttana-San Lorenzo",1
149,fontanella,via Fausto Coppi,38.180716,13.318222,Pallavicino,1
